"continent","location","max","max-2","recovery_rate"
"Africa","Mali","33144",743,"0.98"
"North America","Saint Kitts and Nevis","6598",46,"0.99"
"Europe","Iceland","209191",260,"1.00"
"Asia","Sri Lanka","672177",16843,"0.97"
"Oceania","Kiribati","5025",24,"1.00"
"South America","Uruguay","1037893",7625,"0.99"
"Asia","Qatar","506323",690,"1.00"
"Africa","Morocco","1273463",16297,"0.99"
"Asia","North Korea",NULL,NULL,NULL
"Africa","Mauritius","301096",1046,"1.00"
"Asia","Georgia","1840187",17059,"0.99"
"Asia","Armenia","449062",8747,"0.98"
"Oceania","Tonga","16814",12,"1.00"
"North America","Cuba","1113088",8530,"0.99"
"South America","Brazil","37449418",701494,"0.98"
"Africa","Gabon","48981",306,"0.99"
"Europe","France","38930489",162868,"1.00"
"Asia","Iraq","2465545",25375,"0.99"
"North America","British Virgin Islands","7305",64,"0.99"
"North America","Belize","70782",688,"0.99"
"Europe","Romania","3393902",68089,"0.98"
"Africa","Senegal","88997",1971,"0.98"
"Europe","Latvia","977667",6346,"0.99"
"North America","Panama","1036733",8621,"0.99"
"Asia","Vietnam","11561848",43191,"1.00"
"Asia","India","44952996",531564,"0.99"
"Asia","Indonesia","6776984",161327,"0.98"
"Asia","Bangladesh","2038250",29446,"0.99"
"North America","Nicaragua","15697",245,"0.98"
"Europe","Serbia","2534886",18021,"0.99"
"Europe","Cyprus","658450",1354,"1.00"
"Asia","China","99248443",120961,"1.00"
"Africa","Guinea-Bissau","9350",176,"0.98"
"Oceania","Solomon Islands","24575",153,"0.99"
"Europe","Hungary","2201355",48762,"0.98"
"Europe","Northern Ireland",NULL,NULL,NULL
"Oceania","Northern Mariana Islands","13839",41,"1.00"
"South America","Falkland Islands","1923",NULL,NULL
"Oceania","French Polynesia","78488",649,"0.99"
"Oceania","New Zealand","2251440",2736,"1.00"
"Europe","Poland","6513979",119555,"0.98"
"Asia","Israel","4822313",12493,"1.00"
"Africa","Tunisia","1152612",29387,"0.97"
"Africa","Libya","507250",6437,"0.99"
"Africa","Nigeria","266675",3155,"0.99"
"Europe","Belgium","4793425",34237,"0.99"
"Europe","Albania","334090",3604,"0.99"
"Asia","Kazakhstan","1502667",19072,"0.99"
"Europe","Liechtenstein","21464",87,"1.00"
"Africa","Mozambique","233417",2243,"0.99"
"Europe","Greece","6018544",36754,"0.99"
"Oceania","Wallis and Futuna","3427",7,"1.00"
"North America","United States","103266404",1124063,"0.99"
"Asia","Thailand","4732301",33957,"0.99"
"Europe","Isle of Man","38008",116,"1.00"
"Africa","Seychelles","50937",172,"1.00"
"North America","Barbados","107466",588,"0.99"
"Asia","Bahrain","696614",1536,"1.00"
"Europe","Italy","25788387",189738,"0.99"
"North America","Guadeloupe","202653",1017,"0.99"
"Africa","Central African Republic","15367",113,"0.99"
"North America","Bahamas","38084",844,"0.98"
"Africa","Uganda","170602",3632,"0.98"
"Europe","Denmark","3411909",8556,"1.00"
"Europe","Finland","1473603",9308,"0.99"
"Europe","Croatia","1272886",18180,"0.99"
"Asia","Jordan","1746997",14122,"0.99"
"Asia","United Arab Emirates","1062321",2349,"1.00"
"Europe","Bosnia and Herzegovina","402848",16337,"0.96"
"North America","Guatemala","1248171",20189,"0.98"
"Asia","Philippines","4092158",66444,"0.98"
"Europe","Scotland",NULL,NULL,NULL
"Europe","England",NULL,NULL,NULL
"Asia","Afghanistan","214880",7892,"0.96"
"Europe","Gibraltar","20550",113,"0.99"
"North America","Curacao","45798",301,"0.99"
"North America","Dominican Republic","661045",4384,"0.99"
"South America","Ecuador","1061100",36019,"0.97"
"Africa","Eswatini","74627",1425,"0.98"
"Oceania","Fiji","68918",883,"0.99"
"North America","El Salvador","201785",4230,"0.98"
"Europe","Lithuania","1318513",9668,"0.99"
"North America","Haiti","34228",860,"0.97"
"Asia","Timor","23428",138,"0.99"
"Africa","Tanzania","42973",846,"0.98"
"North America","Martinique","229900",1100,"1.00"
"Africa","Malawi","88638",2686,"0.97"
"Asia","Saudi Arabia","840337",9643,"0.99"
"Europe","Austria","6065711",22372,"1.00"
"Africa","Zambia","343910",4058,"0.99"
"Oceania","Guam","51179",415,"0.99"
"Europe","Wales",NULL,NULL,NULL
"South America","Guyana","73162",1298,"0.98"
"Asia","Myanmar","635102",19492,"0.97"
"Oceania","New Caledonia","80058",314,"1.00"
"Asia","Lebanon","1236702",10900,"0.99"
"Asia","Laos","218077",671,"1.00"
"North America","Honduras","472533",11112,"0.98"
"South America","Colombia","6364636",142713,"0.98"
"North America","United States Virgin Islands","24919",130,"0.99"
"Africa","Comoros","9109",161,"0.98"
"Europe","Kosovo","273852",3206,"0.99"
"South America","Paraguay","735759",19880,"0.97"
"Africa","Reunion","494595",921,"1.00"
"Asia","Kuwait","665741",2570,"1.00"
"Africa","Western Sahara",NULL,NULL,NULL
"Oceania","Papua New Guinea","46842",670,"0.99"
"Africa","Sudan","63993",5046,"0.92"
"Europe","North Macedonia","348142",9673,"0.97"
"North America","Canada","4659971",52121,"0.99"
"Europe","Belarus","994037",7118,"0.99"
"Africa","Democratic Republic of Congo","96212",1464,"0.98"
"North America","Bermuda","18860",165,"0.99"
"Europe","Vatican","26",NULL,NULL
"North America","Anguilla","3904",12,"1.00"
"Asia","Maldives","186435",313,"1.00"
"Africa","Cameroon","124983",1971,"0.98"
"Asia","Cambodia","138733",3056,"0.98"
"Africa","Madagascar","68236",1424,"0.98"
"North America","Mexico","7587447",333908,"0.96"
"Africa","Burkina Faso","22056",396,"0.98"
"Europe","Monaco","16749",67,"1.00"
"Asia","Japan","33720739",74542,"1.00"
"Asia","Azerbaijan","831386",10242,"0.99"
"North America","Saint Martin (French part)","12300",46,"1.00"
"Africa","Guinea","38462",467,"0.99"
"North America","Puerto Rico","1116823",5891,"0.99"
"North America","Jamaica","154786",3536,"0.98"
"North America","Sint Maarten (Dutch part)","11030",92,"0.99"
"Asia","South Korea","31176660",34487,"1.00"
"Africa","Sierra Leone","7762",126,"0.98"
"Africa","Benin","28014",163,"0.99"
"North America","Cayman Islands","31472",37,"1.00"
